# KAPUTNIK Flight Data v2
# Sample rate: 500 Hz
# Samples: 3250
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1783350000000
epoch_ms,ax,ay,az,gx,gy,gz
1783350000582,181,-31,11057,79,69,2041
1783350000584,29,267,11104,68,74,2051
1783350000586,114,48,11233,128,36,2028
1783350000588,151,-19,11428,48,12,2127
1783350000590,206,-3,11576,63,31,2035
1783350000592,-122,277,11560,82,76,2058
1783350000594,-52,125,11774,41,48,2047
1783350000596,-138,98,12086,83,98,2031
1783350000598,203,6,12074,55,62,2079
1783350000600,-133,-19,12225,48,-20,2041
1783350000602,88,-73,12308,1,4,2088
1783350000604,23,80,12404,38,45,2115
1783350000606,176,-174,12321,95,-15,2043
1783350000608,-125,69,12589,131,75,2066
1783350000610,13,-52,12535,54,70,2079
1783350000612,90,55,12664,61,32,1997
1783350000614,180,52,12665,66,-7,2091
1783350000616,133,26,12999,105,-12,2100
1783350000618,84,150,13096,83,43,2065
1783350000620,161,48,13109,65,48,2055
1783350000622,-21,-1,13280,43,57,2075
1783350000624,137,13,13003,68,12,2039
1783350000626,113,268,13321,69,45,2106
1783350000628,107,220,13414,81,34,2103
1783350000630,71,-3,13612,64,-19,2098
1783350000632,31,300,13546,79,-26,2099
1783350000634,248,-39,13553,57,32,2101
1783350000636,-26,55,13843,96,18,2111
1783350000638,256,165,13680,46,8,2010
1783350000640,217,336,14115,66,4,2056
1783350000642,-22,136,13915,94,21,2112
1783350000644,25,244,14045,51,56,2177
1783350000646,-9,50,14071,64,32,2093
1783350000648,-208,115,14195,43,33,2118
1783350000650,130,4,14193,42,23,2108
1783350000652,115,-49,14384,51,4,2091
1783350000654,343,139,14359,49,-3,2132
1783350000656,19,-8,14300,60,81,2099
1783350000658,166,19,14396,87,43,2124
1783350000660,256,3,14552,77,46,2062
1783350000662,-8,60,14521,87,49,2142
1783350000664,-66,62,14739,89,0,2044
1783350000666,-12,3,14742,20,-28,2070
1783350000668,-22,203,14804,129,24,2149
1783350000670,184,166,14823,73,43,2098
1783350000672,52,-50,14909,61,-32,2224
1783350000674,104,-17,15044,101,-5,2179
1783350000676,293,187,14924,117,-31,2214
1783350000678,-26,59,14735,105,-36,2198
1783350000680,301,88,15067,92,-16,2149
1783350000682,-161,-69,15084,110,32,2125
1783350000684,144,-46,15184,103,24,2140
1783350000686,-22,-77,15214,43,-2,2141
1783350000688,24,-36,15080,34,-8,2138
1783350000690,47,-60,15329,60,-39,2153
1783350000692,111,-59,15206,111,-14,2162
1783350000694,307,142,15278,57,-20,2139
1783350000696,225,-57,15369,105,-7,2194
1783350000698,-58,-81,15304,102,-53,2192
1783350000700,288,67,15452,11,-22,2199
1783350000702,235,135,15489,52,28,2153
1783350000704,-81,-29,15587,85,7,2200
1783350000706,45,46,15537,94,-1,2170
1783350000708,67,-41,15489,95,3,2167
1783350000710,3,52,15435,57,12,2175
1783350000712,328,10,15611,35,-9,2135
1783350000714,200,-317,15873,80,-38,2208
1783350000716,244,242,15636,76,-27,2249
1783350000718,-23,-72,15718,86,-1,2184
1783350000720,-32,144,15484,49,24,2195
1783350000722,-7,65,15719,57,-33,2167
1783350000724,381,-163,15837,83,-3,2223
1783350000726,82,-122,15671,68,15,2149
1783350000728,54,-25,15861,82,20,2157
1783350000730,343,22,15902,34,-31,2161
1783350000732,-227,68,15902,103,15,2242
1783350000734,105,30,15696,81,-51,2167
1783350000736,47,-8,15896,91,-10,2165
1783350000738,348,13,15770,57,-28,2211
1783350000740,163,204,16023,43,-60,2191
1783350000742,105,65,15990,68,3,2203
1783350000744,98,140,16040,78,-21,2168
1783350000746,79,-76,15958,67,27,2192
1783350000748,31,-87,15942,80,38,2169
1783350000750,242,27,15896,58,33,2207
1783350000752,114,55,15972,78,1,2194
1783350000754,152,-15,15960,42,-51,2243
1783350000756,175,-80,15967,69,18,2213
1783350000758,291,15,15957,43,-55,2204
1783350000760,143,296,16144,20,-19,2180
1783350000762,75,-3,15983,18,20,2162
1783350000764,289,-136,15970,57,30,2246
1783350000766,-85,-58,16160,62,-63,2197
1783350000768,155,118,16368,48,10,2203
1783350000770,203,-196,16269,-12,-54,2281
1783350000772,58,160,16194,-11,7,2236
1783350000774,188,47,16154,59,-36,2209
1783350000776,-64,171,16147,7,-59,2271
1783350000778,91,65,16271,-9,-23,2279
1783350000780,269,73,16148,43,-39,2177
1783350000782,306,-49,16101,-2,-31,2234
1783350000784,-24,58,16187,77,-26,2281
1783350000786,209,85,15969,17,-33,2214
1783350000788,0,130,16126,2,-33,2267
1783350000790,325,4,16196,29,-42,2290
1783350000792,131,5,16299,-9,-8,2283
1783350000794,203,4,16183,37,19,2220
1783350000796,188,-100,16418,14,-40,2253
1783350000798,311,146,16204,-13,-8,2282
1783350000800,167,-128,16293,-52,15,2266
1783350000802,185,-83,16182,-4,-32,2225
1783350000804,158,149,16437,66,-58,2221
1783350000806,147,89,16486,35,-63,2233
1783350000808,-86,45,16295,-26,-49,2227
1783350000810,311,31,16446,-5,-56,2256
1783350000812,212,67,16201,-61,-5,2292
1783350000814,351,-180,16219,-66,-62,2266
1783350000816,-218,170,16347,-15,-67,2226
1783350000818,287,-81,16372,49,-6,2229
1783350000820,328,190,16546,22,-16,2218
1783350000822,197,-32,16347,37,-100,2256
1783350000824,2,187,16264,0,-19,2272
1783350000826,129,-77,16313,-2,-59,2283
1783350000828,48,121,16466,-22,-68,2284
1783350000830,136,-51,16134,8,-76,2297
1783350000832,138,105,16298,-77,-12,2332
1783350000834,155,-8,16323,12,-16,2284
1783350000836,-36,62,16454,-43,-68,2286
1783350000838,237,-15,16345,-36,-67,2248
1783350000840,22,65,16232,2,-63,2277
1783350000842,365,-190,16489,-71,-51,2286
1783350000844,-91,-43,16183,-48,-40,2318
1783350000846,32,-180,16493,15,-74,2259
1783350000848,282,44,16250,-24,-25,2329
1783350000850,141,-105,16586,-51,-52,2299
1783350000852,268,-66,16382,16,-39,2319
1783350000854,39,32,16445,-6,-42,2255
1783350000856,261,26,16177,21,-68,2245
1783350000858,212,46,16434,-69,-30,2233
1783350000860,419,220,16245,-88,-68,2300
1783350000862,149,8,16499,-81,-69,2303
1783350000864,356,-41,16404,-51,-87,2263
1783350000866,222,35,16335,-61,-64,2273
1783350000868,173,151,16555,-53,-95,2250
1783350000870,85,124,16364,-44,-61,2329
1783350000872,346,-76,16133,-9,-88,2294
1783350000874,275,-103,16306,-24,-39,2341
1783350000876,217,-110,16212,-15,-31,2283
1783350000878,24,165,16450,-77,-27,2340
1783350000880,57,-239,16242,-50,-63,2314
1783350000882,112,-205,16245,-57,-72,2282
1783350000884,217,-152,16380,-85,-88,2354
1783350000886,92,-247,16457,-75,-34,2284
1783350000888,-70,-181,16251,-12,-52,2304
1783350000890,213,-48,16420,-58,-26,2259
1783350000892,222,-20,16256,-14,-61,2277
1783350000894,108,-181,16326,-116,-61,2294
1783350000896,9,-22,16298,-92,-52,2345
1783350000898,263,-131,16332,-99,-10,2331
1783350000900,17,39,16177,-96,-68,2353
1783350000902,283,-203,16281,-22,-12,2307
1783350000904,253,-193,16172,-22,-13,2313
1783350000906,328,69,16373,-95,20,2304
1783350000908,133,-125,16265,-41,10,2290
1783350000910,230,-120,16347,1,-81,2413
1783350000912,170,-336,16313,-70,-37,2320
1783350000914,335,19,16514,-78,-25,2307
1783350000916,360,-55,16106,-41,-37,2354
1783350000918,213,-85,16243,-72,-72,2309
1783350000920,99,-61,16309,-60,-28,2342
1783350000922,84,-43,16112,-93,12,2296
1783350000924,216,-59,16263,-3,-57,2298
1783350000926,136,108,16274,-55,-60,2320
1783350000928,151,-117,16219,-45,-76,2355
1783350000930,465,36,16375,-87,-93,2346
1783350000932,317,-45,16190,-50,-18,2277
1783350000934,176,-122,16089,-143,-22,2321
1783350000936,286,20,16237,-74,-22,2326
1783350000938,231,-68,16383,-55,-58,2356
1783350000940,336,-64,16114,-97,-34,2349
1783350000942,66,12,16157,-99,-72,2316
1783350000944,-60,-190,16149,-90,-74,2382
1783350000946,275,-192,16034,-63,-51,2352
1783350000948,191,56,16190,-64,-2,2417
1783350000950,311,205,16163,-69,-74,2361
1783350000952,127,-23,16251,-41,-44,2310
1783350000954,412,69,16273,-111,-89,2294
1783350000956,255,-27,16248,-65,-47,2379
1783350000958,302,-78,16252,-88,-32,2360
1783350000960,281,-126,16124,-111,-30,2339
1783350000962,235,35,16091,-93,-33,2394
1783350000964,256,-218,16079,-84,-42,2303
1783350000966,13,-267,16135,-114,-30,2356
1783350000968,287,-6,16284,-39,-27,2354
1783350000970,-59,-60,16166,-52,-82,2300
1783350000972,335,-99,16201,-128,0,2336
1783350000974,128,-77,16206,-30,-22,2363
1783350000976,11,-102,15829,-104,-5,2352
1783350000978,172,12,16272,-50,-23,2371
1783350000980,212,181,16329,-73,0,2395
1783350000982,91,-98,16028,5,4,2413
1783350000984,252,-113,16067,-55,-14,2310
1783350000986,153,-2,15963,-46,-65,2361
1783350000988,160,-45,16153,-59,-25,2374
1783350000990,272,-197,15908,-94,-56,2365
1783350000992,282,-175,16199,-50,-30,2344
1783350000994,284,-106,15915,-82,-47,2379
1783350000996,103,-129,15875,-83,-46,2421
1783350000998,272,-9,16106,-77,-30,2378
1783350001000,323,216,16061,-53,9,2359
1783350001002,64,15,16044,-59,-8,2378
1783350001004,248,-86,16050,-54,-5,2358
1783350001006,107,-161,15908,-52,-82,2399
1783350001008,195,-91,16166,-130,-18,2388
1783350001010,102,-100,16138,-42,15,2418
1783350001012,259,-57,16022,-70,-11,2400
1783350001014,27,-111,16000,-123,-51,2370
1783350001016,131,57,16048,-68,-36,2393
1783350001018,533,-246,16010,-57,-19,2425
1783350001020,298,-168,16178,-40,-14,2383
1783350001022,179,-42,16023,-37,8,2366
1783350001024,363,-46,15998,-16,-70,2363
1783350001026,389,111,15787,-62,46,2406
1783350001028,405,-179,15887,-73,-4,2394
1783350001030,503,181,15837,-42,15,2411
1783350001032,44,156,16040,-88,-34,2388
1783350001034,223,-53,15939,-65,-65,2397
1783350001036,-13,31,15987,-67,-15,2356
1783350001038,499,-219,15828,-85,6,2406
1783350001040,105,-65,15968,-76,33,2386
1783350001042,138,39,15896,28,-12,2398
1783350001044,131,-14,15913,-103,-32,2406
1783350001046,391,-203,16019,-153,-33,2424
1783350001048,57,73,15919,-88,24,2386
1783350001050,141,-89,15886,-80,0,2422
1783350001052,282,-189,15874,-79,-12,2429
1783350001054,548,-58,15802,-75,-38,2435
1783350001056,184,48,15682,-60,6,2414
1783350001058,126,29,15861,-32,37,2407
1783350001060,162,-360,15766,-24,29,2365
1783350001062,216,-206,15846,-84,31,2344
1783350001064,149,-109,15762,-52,57,2392
1783350001066,145,-210,15818,-71,-40,2440
1783350001068,25,-69,15941,-47,-11,2479
1783350001070,-37,129,15832,-1,-29,2412
1783350001072,293,-183,15868,-61,-40,2451
1783350001074,63,-312,15626,-24,33,2405
1783350001076,142,49,15874,9,-63,2403
1783350001078,168,73,15874,-42,7,2371
1783350001080,176,-25,15745,-45,39,2447
1783350001082,315,-12,15682,-69,25,2425
1783350001084,186,-24,15677,-14,-11,2377
1783350001086,445,-105,15705,-13,10,2404
1783350001088,427,-199,15666,-75,-21,2416
1783350001090,336,-32,15743,8,-4,2445
1783350001092,99,-215,15692,-37,-33,2466
1783350001094,175,-233,15683,-42,67,2404
1783350001096,101,-142,15827,6,-4,2400
1783350001098,-20,96,15665,-49,-12,2434
1783350001100,361,-482,15726,-60,-1,2410
1783350001102,181,-236,15576,-35,-26,2410
1783350001104,389,-274,15704,40,16,2435
1783350001106,278,63,15575,-41,-25,2387
1783350001108,171,-303,15466,-39,17,2376
1783350001110,15,-78,15684,-16,-13,2396
1783350001112,248,31,15492,-18,17,2466
1783350001114,254,-112,15716,-31,-31,2425
1783350001116,142,-28,15593,-20,24,2467
1783350001118,126,-67,15651,-44,87,2391
1783350001120,162,-256,15709,57,7,2420
1783350001122,289,35,15408,-32,-9,2442
1783350001124,376,-51,15675,-28,10,2397
1783350001126,230,-92,15750,6,-44,2473
1783350001128,66,251,15616,-5,-26,2376
1783350001130,407,-151,15565,-4,-22,2407
1783350001132,91,-93,15549,13,57,2441
1783350001134,226,180,15587,40,-5,2387
1783350001136,89,-168,15502,-13,27,2457
1783350001138,345,-177,15610,55,39,2429
1783350001140,198,-111,15581,12,3,2405
1783350001142,-230,-54,15446,35,-2,2434
1783350001144,93,28,15454,41,41,2408
1783350001146,201,-241,15576,45,74,2427
1783350001148,187,-144,15459,32,41,2382
1783350001150,365,-127,15393,18,25,2442
1783350001152,100,-148,15575,64,22,2458
1783350001154,100,-116,15392,62,55,2418
1783350001156,285,-271,15519,10,19,2388
1783350001158,103,-146,15318,27,24,2465
1783350001160,115,-205,15384,20,27,2459
1783350001162,233,-324,15234,26,8,2420
1783350001164,190,-272,15433,46,23,2404
1783350001166,60,-150,15407,38,-15,2453
1783350001168,466,19,15353,71,-30,2461
1783350001170,339,-128,15361,49,75,2464
1783350001172,369,-178,15353,54,99,2441
1783350001174,85,34,15411,-16,25,2422
1783350001176,309,-103,15367,46,-17,2428
1783350001178,111,-235,15399,10,64,2455
1783350001180,297,64,15204,33,47,2489
1783350001182,-13,-175,15712,59,71,2460
1783350001184,343,-35,15551,43,64,2385
1783350001186,19,-132,15366,54,78,2439
1783350001188,145,-136,15284,41,92,2487
1783350001190,314,-344,15256,38,56,2433
1783350001192,44,63,15155,54,29,2439
1783350001194,174,-61,15440,58,71,2424
1783350001196,195,-70,15372,30,12,2457
1783350001198,148,-219,15325,45,38,2418
1783350001200,83,-222,15412,40,26,2446
1783350001202,161,-12,15280,61,-10,2439
1783350001204,120,-87,15273,4,15,2429
1783350001206,208,-129,15177,93,58,2419
1783350001208,221,-122,15417,86,38,2414
1783350001210,-3,60,15275,79,78,2415
1783350001212,377,-241,15440,49,30,2461
1783350001214,111,-175,15108,91,42,2448
1783350001216,182,-80,15222,96,38,2489
1783350001218,313,-138,15286,80,5,2421
1783350001220,177,-220,15125,78,25,2468
1783350001222,245,-158,15269,26,58,2431
1783350001224,205,-174,15188,21,11,2402
1783350001226,214,-221,15245,73,43,2478
1783350001228,232,-112,15321,65,66,2456
1783350001230,7,-149,15254,97,36,2445
1783350001232,107,-152,15208,77,34,2459
1783350001234,399,-278,15240,125,40,2454
1783350001236,95,-267,15123,61,20,2468
1783350001238,206,-176,15305,81,19,2462
1783350001240,98,156,14861,35,69,2398
1783350001242,244,-185,15047,116,-16,2495
1783350001244,-19,-73,15242,117,55,2428
1783350001246,165,-131,15282,106,58,2458
1783350001248,88,71,14935,84,5,2481
1783350001250,463,56,15145,96,64,2441
1783350001252,140,-241,15260,72,73,2464
1783350001254,189,73,15043,100,90,2487
1783350001256,286,26,15189,59,58,2419
1783350001258,195,-179,14952,48,11,2465
1783350001260,220,-77,15198,78,83,2472
1783350001262,-30,-81,15148,108,83,2471
1783350001264,165,-169,14952,82,54,2447
1783350001266,73,99,15182,101,52,2420
1783350001268,373,-112,15111,80,33,2466
1783350001270,341,-38,14900,85,92,2488
1783350001272,163,42,15003,101,58,2460
1783350001274,176,-266,15044,91,21,2433
1783350001276,98,-257,14859,113,116,2480
